begdate,enddate,pressconf,scheduled
8/14/1979,8/14/1979,0,1
9/18/1979,9/18/1979,0,1
10/5/1979,10/5/1979,0,0
10/6/1979,10/6/1979,0,1
10/22/1979,10/22/1979,0,0
11/20/1979,11/20/1979,0,1
1/8/1980,1/9/1980,0,1
2/4/1980,2/5/1980,0,1
3/7/1980,3/7/1980,0,0
3/18/1980,3/18/1980,0,1
4/22/1980,4/22/1980,0,1
4/29/1980,4/29/1980,0,0
5/6/1980,5/6/1980,0,0
5/20/1980,5/20/1980,0,1
6/5/1980,6/5/1980,0,0
7/9/1980,7/9/1980,0,1
7/25/1980,7/25/1980,0,0
8/12/1980,8/12/1980,0,1
8/22/1980,8/22/1980,0,0
9/16/1980,9/16/1980,0,1
10/21/1980,10/21/1980,0,1
11/18/1980,11/18/1980,0,1
11/26/1980,11/26/1980,0,0
12/5/1980,12/5/1980,0,0
12/12/1980,12/12/1980,0,0
12/18/1980,12/19/1980,0,1
2/2/1981,2/3/1981,0,1
2/24/1981,2/24/1981,0,0
3/31/1981,3/31/1981,0,1
4/28/1981,4/28/1981,0,0
5/6/1981,5/6/1981,0,0
5/18/1981,5/18/1981,0,1
6/17/1981,6/17/1981,0,0
7/6/1981,7/7/1981,0,1
7/17/1981,7/17/1981,0,0
8/7/1981,8/7/1981,0,0
8/18/1981,8/18/1981,0,1
10/5/1981,10/6/1981,0,1
11/17/1981,11/17/1981,0,1
12/21/1981,12/22/1981,0,1
2/1/1982,2/2/1982,0,1
3/29/1982,3/30/1982,0,1
5/18/1982,5/18/1982,0,1
5/20/1982,5/20/1982,0,0
6/30/1982,7/1/1982,0,1
7/15/1982,7/15/1982,0,0
8/24/1982,8/24/1982,0,1
9/24/1982,9/24/1982,0,0
10/5/1982,10/5/1982,0,1
11/16/1982,11/16/1982,0,1
12/20/1982,12/21/1982,0,1
1/14/1983,1/14/1983,0,0
1/21/1983,1/21/1983,0,0
1/28/1983,1/28/1983,0,0
2/8/1983,2/9/1983,0,1
3/28/1983,3/29/1983,0,1
4/29/1983,4/29/1983,0,0
5/24/1983,5/24/1983,0,1
6/23/1983,6/23/1983,0,0
7/12/1983,7/13/1983,0,1
8/23/1983,8/23/1983,0,1
9/8/1983,9/8/1983,0,0
10/4/1983,10/4/1983,0,1
11/14/1983,11/15/1983,0,1
12/19/1983,12/20/1983,0,1
1/30/1984,1/31/1984,0,1
3/20/1984,3/20/1984,0,0
3/26/1984,3/27/1984,0,1
5/21/1984,5/22/1984,0,1
7/16/1984,7/17/1984,0,1
8/21/1984,8/21/1984,0,1
10/2/1984,10/2/1984,0,1
11/7/1984,11/7/1984,0,1
12/17/1984,12/18/1984,0,1
1/18/1985,1/18/1985,0,0
2/12/1985,2/13/1985,0,1
3/26/1985,3/26/1985,0,1
